,Price
2023-02-06 00:00:00,145.0
2023-02-06 00:15:00,144.6825
2023-02-06 00:30:00,144.365
2023-02-06 00:45:00,144.04749999999999
2023-02-06 01:00:00,143.73
2023-02-06 01:15:00,144.14999999999998
2023-02-06 01:30:00,144.57
2023-02-06 01:45:00,144.99
2023-02-06 02:00:00,145.41
2023-02-06 02:15:00,144.57999999999998
2023-02-06 02:30:00,143.75
2023-02-06 02:45:00,142.92000000000002
2023-02-06 03:00:00,142.09
2023-02-06 03:15:00,141.5925
2023-02-06 03:30:00,141.095
2023-02-06 03:45:00,140.5975
2023-02-06 04:00:00,140.1
2023-02-06 04:15:00,142.3075
2023-02-06 04:30:00,144.515
2023-02-06 04:45:00,146.7225
2023-02-06 05:00:00,148.93
2023-02-06 05:15:00,155.615
2023-02-06 05:30:00,162.3
2023-02-06 05:45:00,168.98499999999999
2023-02-06 06:00:00,175.67
2023-02-06 06:15:00,181.915
2023-02-06 06:30:00,188.16
2023-02-06 06:45:00,194.405
2023-02-06 07:00:00,200.65
2023-02-06 07:15:00,203.835
2023-02-06 07:30:00,207.01999999999998
2023-02-06 07:45:00,210.20499999999998
2023-02-06 08:00:00,213.39
2023-02-06 08:15:00,210.20499999999998
2023-02-06 08:30:00,207.01999999999998
2023-02-06 08:45:00,203.835
2023-02-06 09:00:00,200.65
2023-02-06 09:15:00,196.7575
2023-02-06 09:30:00,192.865
2023-02-06 09:45:00,188.97250000000003
2023-02-06 10:00:00,185.08
2023-02-06 10:15:00,183.77
2023-02-06 10:30:00,182.46
2023-02-06 10:45:00,181.15
2023-02-06 11:00:00,179.84
2023-02-06 11:15:00,177.06
2023-02-06 11:30:00,174.28
2023-02-06 11:45:00,171.5
2023-02-06 12:00:00,168.72
2023-02-06 12:15:00,166.82999999999998
2023-02-06 12:30:00,164.94
2023-02-06 12:45:00,163.05
2023-02-06 13:00:00,161.16
2023-02-06 13:15:00,161.845
2023-02-06 13:30:00,162.53
2023-02-06 13:45:00,163.215
2023-02-06 14:00:00,163.9
2023-02-06 14:15:00,165.5925
2023-02-06 14:30:00,167.285
2023-02-06 14:45:00,168.9775
2023-02-06 15:00:00,170.67
2023-02-06 15:15:00,173.4525
2023-02-06 15:30:00,176.235
2023-02-06 15:45:00,179.0175
2023-02-06 16:00:00,181.8
2023-02-06 16:15:00,186.085
2023-02-06 16:30:00,190.37
2023-02-06 16:45:00,194.655
2023-02-06 17:00:00,198.94
2023-02-06 17:15:00,202.57999999999998
2023-02-06 17:30:00,206.22
2023-02-06 17:45:00,209.86
2023-02-06 18:00:00,213.5
2023-02-06 18:15:00,211.47
2023-02-06 18:30:00,209.44
2023-02-06 18:45:00,207.41
2023-02-06 19:00:00,205.38
2023-02-06 19:15:00,200.5875
2023-02-06 19:30:00,195.79500000000002
2023-02-06 19:45:00,191.0025
2023-02-06 20:00:00,186.21
2023-02-06 20:15:00,181.2775
2023-02-06 20:30:00,176.345
2023-02-06 20:45:00,171.4125
2023-02-06 21:00:00,166.48
2023-02-06 21:15:00,164.815
2023-02-06 21:30:00,163.14999999999998
2023-02-06 21:45:00,161.48499999999999
2023-02-06 22:00:00,159.82
2023-02-06 22:15:00,158.365
2023-02-06 22:30:00,156.91
2023-02-06 22:45:00,155.45499999999998
2023-02-06 23:00:00,154.0
2023-02-06 23:15:00,151.945
2023-02-06 23:30:00,149.89
2023-02-06 23:45:00,147.835
