Datetime (UTC),Country,Zone name,Zone id,Carbon intensity gCO₂eq/kWh (direct),Carbon intensity gCO₂eq/kWh (Life cycle),Carbon-free energy percentage (CFE%),Renewable energy percentage (RE%),Data source,Data estimated,Data estimation method
2022-01-01 00:00:00,Germany,Germany,DE,169.18,220.0,79.96,72.52,entsoe.eu,false,
2022-01-01 01:00:00,Germany,Germany,DE,172.47,224.29,79.49,71.6,entsoe.eu,false,
2022-01-01 02:00:00,Germany,Germany,DE,177.25,229.97,79.0,70.83,entsoe.eu,false,
2022-01-01 03:00:00,Germany,Germany,DE,182.97,236.73,78.26,69.54,entsoe.eu,false,
2022-01-01 04:00:00,Germany,Germany,DE,195.36,250.92,76.89,67.38,entsoe.eu,false,
2022-01-01 05:00:00,Germany,Germany,DE,200.39,256.36,76.47,66.74,entsoe.eu,false,
2022-01-01 06:00:00,Germany,Germany,DE,213.22,270.11,75.25,64.77,entsoe.eu,false,
2022-01-01 07:00:00,Germany,Germany,DE,223.47,282.51,73.95,62.41,entsoe.eu,false,
2022-01-01 08:00:00,Germany,Germany,DE,222.06,281.14,74.15,62.64,entsoe.eu,false,
2022-01-01 09:00:00,Germany,Germany,DE,211.65,271.02,75.0,62.89,entsoe.eu,false,
2022-01-01 10:00:00,Germany,Germany,DE,208.96,268.35,75.18,62.7,entsoe.eu,false,
2022-01-01 11:00:00,Germany,Germany,DE,216.69,276.55,74.83,63.17,entsoe.eu,false,
2022-01-01 12:00:00,Germany,Germany,DE,219.33,279.68,74.58,62.34,entsoe.eu,false,
2022-01-01 13:00:00,Germany,Germany,DE,248.91,309.07,72.84,59.97,entsoe.eu,false,
2022-01-01 14:00:00,Germany,Germany,DE,288.81,350.66,69.29,55.64,entsoe.eu,false,
2022-01-01 15:00:00,Germany,Germany,DE,308.5,368.82,68.71,55.98,entsoe.eu,false,
2022-01-01 16:00:00,Germany,Germany,DE,310.71,368.92,69.28,58.14,entsoe.eu,false,
2022-01-01 17:00:00,Germany,Germany,DE,310.55,367.92,69.77,60.81,entsoe.eu,false,
2022-01-01 18:00:00,Germany,Germany,DE,294.26,351.11,70.76,62.8,entsoe.eu,false,
2022-01-01 19:00:00,Germany,Germany,DE,266.27,322.89,72.26,64.31,entsoe.eu,false,
2022-01-01 20:00:00,Germany,Germany,DE,239.56,295.72,73.98,65.49,entsoe.eu,false,
2022-01-01 21:00:00,Germany,Germany,DE,230.79,286.52,74.73,66.73,entsoe.eu,false,
2022-01-01 22:00:00,Germany,Germany,DE,201.62,256.67,76.94,68.78,entsoe.eu,false,
2022-01-01 23:00:00,Germany,Germany,DE,179.43,233.83,78.52,69.78,entsoe.eu,false,
2022-01-02 00:00:00,Germany,Germany,DE,180.19,234.97,78.49,70.19,entsoe.eu,false,
2022-01-02 01:00:00,Germany,Germany,DE,178.53,233.56,78.54,69.41,entsoe.eu,false,
2022-01-02 02:00:00,Germany,Germany,DE,178.4,233.29,78.57,69.71,entsoe.eu,false,
2022-01-02 03:00:00,Germany,Germany,DE,180.59,235.84,78.12,68.08,entsoe.eu,false,
2022-01-02 04:00:00,Germany,Germany,DE,178.41,233.14,78.24,67.78,entsoe.eu,false,
2022-01-02 05:00:00,Germany,Germany,DE,177.15,231.78,78.37,68.1,entsoe.eu,false,
2022-01-02 06:00:00,Germany,Germany,DE,175.09,229.5,78.74,69.23,entsoe.eu,false,
2022-01-02 07:00:00,Germany,Germany,DE,168.17,220.57,80.05,71.0,entsoe.eu,false,
2022-01-02 08:00:00,Germany,Germany,DE,160.99,212.57,80.94,72.18,entsoe.eu,false,
