n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,124.61351351549501,1.06300229721332,1.155813263148366,1.0657952617356883,27.26,77.0
2,124.61351351549501,1.06300229721332,1.155813263148366,1.0637470877526183,27.26,75.5
3,55.713513519181944,1.1143183653709643,1.155813263151112,1.1143183653709643,30.91,74.0
4,55.713513519181944,1.1143183653709643,1.155813263151112,1.1143183653709643,30.91,75.0
5,183.36351351426282,1.0192458530295523,1.1558132631474483,1.0192458530295523,31.67,76.0
6,183.3635135142629,1.0192458530295523,1.1558132631474483,1.0192458530295523,31.67,75.5
7,409.11351351154644,0.8511093887829893,1.1558132631454252,0.8511093887829893,29.34,75.0
8,409.113513511547,0.8511093887829893,1.1558132631454254,0.8511093887829893,29.34,75.5
9,799.2499999732519,0.5429150636214046,1.1381889021355491,0.5429150636214046,30.3,76.0
10,368.49999999955025,0.5429150636214046,0.817370377352447,0.5429150636214046,30.3,76.0
11,-0.0,0.9390319119471388,0.9390319119471388,0.9390319119471388,28.64,76.0
12,-0.0,0.9390319119471388,0.9390319119471388,0.9390319119471388,28.64,77.0
13,-0.0,1.3052454201200514,1.3052454201200514,1.3052454201200514,27.37,78.0
14,-0.0,1.3052454201200514,1.3052454201200514,1.3052454201200514,27.37,75.5
15,-0.0,1.2003789121868684,1.2003789121868684,1.2003789121868684,25.95,73.0
16,-0.0,1.2003789121868684,1.2003789121868684,1.2003789121868684,25.95,74.5
17,-0.0,1.1412797828935581,1.1412797828935581,1.1412797828935581,31.14,76.0
18,-0.0,1.1412797828935581,1.1412797828935581,1.1412797828935581,31.14,78.5
19,-0.0,1.0757382154353188,1.0757382154353188,1.0757382154353188,28.83,81.0
20,-0.0,1.0757382154353188,1.0757382154353188,1.0757382154353188,28.83,82.0
21,-0.0,1.0596135002595133,1.0596135002595133,1.0596135002595133,29.45,83.0
22,-0.0,1.0596135002595133,1.0596135002595133,1.0596135002595133,29.45,84.0
23,-0.0,1.0599858955291626,1.0599858955291626,1.0599858955291626,33.42,85.0
24,-0.0,1.0599858955291626,1.0599858955291626,1.0599858955291626,33.42,87.5
25,-0.0,1.0757382154353188,1.0757382154353188,1.0757382154353188,32.9,90.0
26,554.0999999967771,1.0757382154353188,1.488426653258037,1.7743517412970067,32.9,98.5
27,584.8499999995081,1.0528359063519,1.4884266532600712,2.4705446979059755,30.03,107.0
28,584.8499999995081,1.0528359063519,1.4884266532600712,2.442801250317119,30.03,116.5
29,533.2999999997689,1.091229858652721,1.4884266532602655,2.4389283395127683,23.56,126.0
30,533.2999999997689,1.091229858652721,1.4884266532602655,2.3812070727171597,23.56,139.5
