n,y,Pb,Tc,UCC,charging_costs,grid_carbon_intensity
1,58.75,0.8930088837388958,0.9333504999785421,0.8936955495472302,29.06,125.0
2,63.75,0.8930088837388958,0.9367838290202142,0.8930088837388958,29.06,120.5
3,84.5,0.8885112226943054,0.9465344834985627,0.8885112226943054,33.24,116.0
4,77.5,0.8885112226943054,0.9417278228402219,0.8885112226943054,33.24,117.0
5,75.0,0.8844255611347157,0.9359254967597962,0.8844255611347157,32.96,118.0
6,67.5,0.8844255611347157,0.9307755031972881,0.8844255611347157,32.96,119.5
7,63.25,0.8789322346680404,0.9223638470451916,0.8789322346680404,29.49,121.0
8,68.75,0.8789322346680404,0.9261405089910308,0.8789322346680404,29.49,119.0
9,81.0,0.8846658941676326,0.9402858246427196,0.8846658941676326,29.03,117.0
10,32.25,0.8846658941676326,0.9068108664864173,0.8846658941676326,29.03,118.5
11,0.0,0.8823655637097124,0.8823655637097124,0.8823655637097124,28.64,120.0
12,0.0,0.8823655637097124,0.8823655637097124,0.8823655637097124,28.64,121.0
13,0.0,0.8863138921076352,0.8863138921076352,0.8863138921076352,28.55,122.0
14,0.0,0.8863138921076352,0.8863138921076352,0.8863138921076352,28.55,122.5
15,0.0,0.888064889918888,0.888064889918888,0.888064889918888,24.49,123.0
16,0.0,0.888064889918888,0.888064889918888,0.888064889918888,24.49,123.0
17,0.0,0.8676022488305227,0.8676022488305227,0.8676022488305227,28.2,123.0
18,0.0,0.8676022488305227,0.8676022488305227,0.8676022488305227,28.2,122.5
19,0.0,0.8697309128363593,0.8697309128363593,0.8697309128363593,24.25,122.0
20,0.0,0.8697309128363593,0.8697309128363593,0.8697309128363593,24.25,124.0
21,0.0,0.8679455817346899,0.8679455817346899,0.8679455817346899,25.97,126.0
22,0.0,0.8679455817346899,0.8679455817346899,0.8679455817346899,25.97,128.0
23,0.0,0.8853182266855504,0.8853182266855504,0.8853182266855504,25.97,130.0
24,0.0,0.8853182266855504,0.8853182266855504,0.8853182266855504,25.97,132.0
25,0.0,0.9307068366164547,0.9307068366164547,0.9307068366164547,25.41,134.0
26,115.5,0.9307068366164547,1.0100167374790787,1.0107034032874131,25.41,133.5
27,267.75,0.9536414746148238,1.1374962447963612,1.1368095789880268,25.41,133.0
28,266.0,0.9536414746148238,1.136294579631776,1.136294579631776,25.41,135.5
29,260.0,0.9533324750010733,1.131865585168019,1.131865585168019,26.06,138.0
30,250.75,0.9533324750010733,1.1255139264409257,1.1255139264409257,26.06,141.5
